FECHA;MOTIVO;DIVISION;PROVEEDOR;CANTIDAD;COSTO POR UNIDAD;COSTO TOTAL;SEMANA;MES;AÑO
24/4/2026;SALIDA;ROPA;MUESTRAS;48;L229.17;L11,000.16;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;EPIC GLOBALS LIMITED;48;L231.90;L11,131.17;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;48;L227.87;L10,937.76;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;48;L227.87;L10,937.81;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;48;L227.88;L10,938.45;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L222.37;L10,673.76;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;47;L217.80;L10,236.60;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L218.51;L10,488.71;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;MUESTRAS;72;L226.22;L16,287.84;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L227.14;L10,902.72;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;W GROUP WORLDWIDE S.A.;47;L227.87;L10,709.89;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;47;L227.89;L10,710.60;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;47;L227.88;L10,710.52;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;82;L227.87;L18,685.34;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L229.17;L11,000.16;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L231.90;L11,131.17;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L222.36;L10,673.51;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L227.87;L10,937.84;SEM-17;ABRIL;2026
24/4/2026;ENTRADA;ROPA;EPIC GLOBALS LIMITED;48;L227.89;L10,938.48;SEM-17;ABRIL;2026
26/4/2026;CONVERSION;HOGAR;YIWU LYFHON INTL TRADE CO LTD;253;L36.70;L9,285.82;SEM-18;ABRIL;2026
26/4/2026;CONVERSION;HOGAR;YIWU LYFHON INTL TRADE CO LTD;2277;L4.08;L9,285.82;SEM-18;ABRIL;2026
28/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;20;L716.61;L14,332.27;SEM-18;ABRIL;2026
28/4/2026;ENTRADA;PASEO;YIWU LYFHON INTL TRADE CO LTD;20;L525.93;L10,518.54;SEM-18;ABRIL;2026
30/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;6;L588.17;L3,529.01;SEM-18;ABRIL;2026
30/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;10;L599.95;L5,999.47;SEM-18;ABRIL;2026
30/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;12;L592.73;L7,112.81;SEM-18;ABRIL;2026
30/4/2026;ENTRADA;PASEO;YIWU LYFHON INTL TRADE CO LTD;6;L588.17;L3,529.01;SEM-18;ABRIL;2026
30/4/2026;ENTRADA;PASEO;YIWU LYFHON INTL TRADE CO LTD;10;L599.95;L5,999.47;SEM-18;ABRIL;2026
30/4/2026;ENTRADA;PASEO;YIWU LYFHON INTL TRADE CO LTD;12;L592.73;L7,112.81;SEM-18;ABRIL;2026
30/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;10;L568.52;L5,685.19;SEM-18;ABRIL;2026
30/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;8;L533.81;L4,270.47;SEM-18;ABRIL;2026
30/4/2026;SALIDA;PASEO;YIWU LYFHON INTL TRADE CO LTD;10;L519.87;L5,198.65;SEM-18;ABRIL;2026
30/4/2026;ENTRADA;PASEO;YIWU LYFHON INTL TRADE CO LTD;10;L568.52;L5,685.19;SEM-18;ABRIL;2026
