FECHA;PRODUCCION;META/TIEMPO;ÁREA;SEMANA;MES;DIVISION2;AÑO
26/4/2026;192;208.33;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;180;252.78;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;146;144.44;PRODUCCION;SEM 18;ABRIL; JUGUETERIA ;2026
26/4/2026;96;185.19;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
25/4/2026;3;10.89;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;90;57.41;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;117;116.67;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;60;52.89;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;60;55.56;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;60;33.33;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;120;107.41;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;180;120.37;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;60;50;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;72;57.41;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;6;11.11;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;24;20.37;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;96;55.56;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
25/4/2026;48;40.74;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
24/4/2026;48;33.33;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
24/4/2026;48;35.19;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
24/4/2026;120;94.44;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
24/4/2026;48;74.07;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
23/4/2026;142;185.19;PRODUCCION;SEM 17;ABRIL; ESCOLAR ;2026
23/4/2026;182;92.59;PRODUCCION;SEM 17;ABRIL; ESCOLAR ;2026
23/4/2026;10;27.78;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
23/4/2026;120;185.19;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
23/4/2026;24;37.04;PRODUCCION;SEM 17;ABRIL; BEBE ;2026
23/4/2026;20;55.56;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
23/4/2026;30;37.04;PRODUCCION;SEM 17;ABRIL; BEBE ;2026
23/4/2026;120;188.89;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
23/4/2026;96;166.67;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
23/4/2026;120;107.41;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;108;70.37;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;108;59.26;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;10;48.22;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;168;151.11;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
22/4/2026;36;27.78;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
21/4/2026;96;101.85;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
21/4/2026;216;129.63;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
21/4/2026;192;212.96;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
21/4/2026;40;46.67;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
20/4/2026;240;238.78;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
20/4/2026;90;91;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
20/4/2026;64;66.67;PRODUCCION;SEM 17;ABRIL; HOGAR ;2026
29/4/2026;359;325.93;PRODUCCION;SEM 18;ABRIL; ROPA ;2026
26/4/2026;600;375;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;228;162.04;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;432;430.56;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
26/4/2026;900;772.78;PRODUCCION;SEM 18;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;288;303.33;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;93.89;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;180;93.89;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;180;137.22;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;115.56;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;122.78;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;55.56;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;130;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;101.11;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;115.56;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;150;144.44;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;240;171.3;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;144;120.37;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;180;129.63;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;180;134.26;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;180;129.63;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;156;111.11;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
19/4/2026;120;130;PRODUCCION;SEM 17;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;1128;765.56;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;276;317.78;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;240;162.04;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;180;129.63;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;180;148.15;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;84;65;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;83;72.22;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;72;57.78;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;24;21.67;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;108;144.44;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;1440;1,249.44;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;720;527.22;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
18/4/2026;360;236.11;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
17/4/2026;96;97.22;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;300;319.44;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;300;277.78;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;300;287.04;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;300;333.33;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;300;375;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
17/4/2026;93;92.59;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
17/4/2026;93;101.85;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
17/4/2026;189;152.78;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
17/4/2026;87;137.22;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
17/4/2026;93;115.56;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
17/4/2026;189;252.78;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;189;138.89;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;189;106.48;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;189;259.26;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;141;120.37;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;115.74;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;115.74;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;92.59;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;134.26;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;74.07;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;138.89;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;106.48;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;96;78.7;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;115.74;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;101.85;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;144;106.48;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;96;125;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
16/4/2026;336;372.96;PRODUCCION;SEM 16;ABRIL; BEBE ;2026
14/4/2026;600;972.22;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;583.33;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;720;777.78;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;583.33;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;486.11;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;486.11;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;680.56;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;550.93;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;486.11;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;486.11;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;842.59;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;518.52;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;1200;1,166.67;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;712.96;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;615.74;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;600;680.56;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
14/4/2026;672;640.37;PRODUCCION;SEM 16;ABRIL; BEBE ;2026
13/4/2026;200;207.41;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
13/4/2026;1200;1,361.11;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
13/4/2026;1200;1,011.11;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
13/4/2026;396;375.93;PRODUCCION;SEM 16;ABRIL; INTERIOR DETALLE ;2026
